PId	nDay	weight	width	height	length
C01	1	1	1	1	1
C02	1	2	2	1	1
C03	2	6	3	2	2
C04	2	6	4	5	1
C05	5	20	4	5	1
C06	2	4	4	2	1
C07	3	13	2	2	3
C08	2	4	4	1	1
C09	4	6	3	2	1
C10	4	6	4	3	1
C11	1	10	6	2	1
C12	1	3	5	4	1
C13	1	1	2	2	1
C14	1	6	3	3	3
C15	1	3	6	1	1
C16	1	1	1	2	1
C17	1	5	2	1	2
C18	1	10	2	1	3
C19	1	4	2	2	2
C20	1	1	1	2	1
C21	1	3	2	1	1
C22	7	15	3	3	2
C23	6	10	2	4	1
C24	2	12	3	4	2
C25	2	12	2	3	2
C26	2	6	5	2	1
C27	2	3	3	3	1
C28	4	3	2	4	1
C29	4	3	3	1	2
C30	4	3	4	3	1
C31	4	2	1	3	1
C32	4	4	2	3	1
C33	4	5	2	2	1
C34	4	3	1	2	1
C35	5	2	2	1	1
C36	5	3	3	1	1
C37	5	5	2	3	1
C38	5	30	4	2	2
C39	3	2	2	3	1
C40	3	20	2	5	2
C41	3	7	3	1	1
C42	10	150	4	4	3
C43	3	4	2	2	1
C44	14	6	2	6	1
C45	2	3	2	1	1
C46	2	5	3	3	1
C47	2	2	2	2	1
C48	1	1	1	2	1
C49	1	1	3	2	1
C50	1	1	2	2	1
