PId	nDay	weight	length	width	height
C01	1	1	25	25	25
C02	1	2	25	30	10
C03	2	6	50	50	20
C04	2	6	55	45	15
C05	5	20	60	45	25
C06	2	4	47	40	10
C07	3	13	55	45	10
C08	2	4	46	40	10
C09	4	6	51	40	20
C10	4	6	50	43	35
C11	1	10	47	36	15
C12	1	3	48	48	5
C13	1	1	20	20	5
C14	1	6	50	40	50
C15	1	3	56	46	16
C16	1	1	10	20	10
C17	1	5	52	37	7
C18	1	10	47	37	3
C19	1	4	48	36	2
C20	1	1	5	5	10
C21	1	2	10	5	5
C22	7	15	51	41	5
C23	6	10	60	40	20
C24	2	12	45	45	2
C25	2	12	60	36	12
C26	2	26	130	50	10
C27	2	23	70	70	10
C28	4	1	2	4	5
C29	4	2	20	5	5
C30	4	2	10	20	20
C31	4	1	5	5	5
C32	4	2	20	10	5
C33	4	1	30	30	10
C34	4	10	46	40	6
C35	5	2	10	20	5
C36	5	12	50	40	12
C37	5	15	52	38	12
C38	5	30	200	100	150
C39	3	22	210	120	100
C40	3	21	80	100	50
C41	3	25	150	150	20
C42	10	30	250	100	40
C43	3	24	70	50	5
C44	14	6	60	45	20
C45	2	3	46	36	10
C46	2	5	52	40	10
C47	2	2	40	20	20
C48	1	1	35	25	5
C49	1	1	30	25	5
C50	1	1	20	35	15
